state,rptdate,total,measure_type,measure,measure_n,measure_ina,measure_pct,measure_pct_ina,state_name,claim_type,year,year_month,month,month_labs,date_school_closures,date_restaurant_closures,date_stay_in_place,notes_closures,date_min_covid,covid_color,monthly_weekly_ind,count_weeks,state_filter
NM,2020-03-07,9539,sex,male,5684,0,0.5958695880071286,0,New Mexico,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,Before shutdowns,weekly,2,keep
NM,2020-03-14,9356,sex,male,5531,0,0.591171440786661,0,New Mexico,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,Before shutdowns,weekly,2,keep
NM,2020-03-21,9627,sex,male,5647,0,0.5865794120702191,0,New Mexico,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,After shutdowns,weekly,4,keep
NM,2020-03-28,22498,sex,male,10443,0,0.46417459329718197,0,New Mexico,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,After shutdowns,weekly,4,keep
NM,2020-04-04,39232,sex,male,17857,0,0.45516415171288743,0,New Mexico,Initial,2020,Apr 2020,4,Apr,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,After shutdowns,weekly,4,keep
NM,2020-04-11,56641,sex,male,25676,0,0.45331120566374183,0,New Mexico,Initial,2020,Apr 2020,4,Apr,2020-03-16,2020-03-23,2020-03-23,"March 12, 2020: The Governor announced that all New Mexico public schools will close for three weeks beginning March 16th.   March 23, 2020: The New Mexico Department of Health announced a new public health emergency order closing all non-essential businesses and further restricting mass gatherings.",2020-03-16,After shutdowns,weekly,4,keep
ND,2020-03-07,517,sex,male,420,0,0.8123791102514507,0,North Dakota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,Before shutdowns,weekly,2,keep
ND,2020-03-14,521,sex,male,425,0,0.8157389635316699,0,North Dakota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,Before shutdowns,weekly,2,keep
ND,2020-03-21,5976,sex,male,2686,0,0.44946452476572957,0,North Dakota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,After shutdowns,weekly,4,keep
ND,2020-03-28,12591,sex,male,5893,1,0.4680698967434472,7.942180922881423e-5,North Dakota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,After shutdowns,weekly,4,keep
ND,2020-04-04,16167,sex,male,7923,1,0.4901026846467896,6.185439475474733e-5,North Dakota,Initial,2020,Apr 2020,4,Apr,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,After shutdowns,weekly,4,keep
ND,2020-04-11,10504,sex,male,6178,1,0.5882128915547938,9.52018278750952e-5,North Dakota,Initial,2020,Apr 2020,4,Apr,2020-03-15,2020-03-19,2020-03-27,"March 15, 2020-The Governor ordered all K-12 schools to close from March 16-March 20 to slow the spread of COVID-19; March 19, 2020: The Governor signed an executive order directing bars and restaurants to close to on-site patrons; March 27, 2020: The Governor issued an executive order that expanded business closures as the number of confirmed cases attributed to community spread surpassed the number of travel-related or close-contact cases.",2020-03-15,After shutdowns,weekly,4,keep
OR,2020-03-07,3896,sex,male,2042,760,0.6511479591836735,0.19507186858316222,Oregon,Initial,2020,Mar 2020,3,Mar,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,Before shutdowns,weekly,1,keep
OR,2020-03-14,4023,sex,male,1997,876,0.63457260883381,0.21774794929157346,Oregon,Initial,2020,Mar 2020,3,Mar,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,After shutdowns,weekly,5,keep
OR,2020-03-21,21311,sex,male,6065,8177,0.46177858991929344,0.3836985594294027,Oregon,Initial,2020,Mar 2020,3,Mar,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,After shutdowns,weekly,5,keep
OR,2020-03-28,45816,sex,male,12387,20709,0.493368383319393,0.45200366684127813,Oregon,Initial,2020,Mar 2020,3,Mar,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,After shutdowns,weekly,5,keep
OR,2020-04-04,54558,sex,male,14602,26305,0.5168300711428875,0.48214743942226623,Oregon,Initial,2020,Apr 2020,4,Apr,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,After shutdowns,weekly,5,keep
OR,2020-04-11,47764,sex,male,12265,24258,0.5217816727644006,0.5078720375177959,Oregon,Initial,2020,Apr 2020,4,Apr,2020-03-12,2020-03-17,2020-03-23,"March 12, 2020: Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st. March 16, 2020: The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19. (Effective March 17). March 23, 2020: The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed.",2020-03-12,After shutdowns,weekly,5,keep
OH,2020-03-31,591723,sex,male,265797,2317,0.450957404573418,0.003915683520836608,Ohio,Initial,2020,Mar 2020,3,Mar,2020-03-12,2020-03-15,2020-03-22,"March 12, 2020: Governor DeWine announced that all schools will be closed for three weeks beginning on Monday, March 16; March 15, 2020: The Governor ordered all Ohio bars and restaurants to close, with only take-out and delivery options available; March 22, 2020: The Ohio Department of Health issued a “Stay at Home” order which directs citizens of Ohio to stay at home or place of residence, ceases all non-essential business and operations, prohibits public and private gatherings, and prohibits some travel, among other things.",2020-03-12,After shutdowns,monthly,1,remove
OK,2020-03-31,118796,sex,male,56664,0,0.4769857570961985,0,Oklahoma,Initial,2020,Mar 2020,3,Mar,2020-03-25,2020-03-24,2020-03-24,"March 24, 2020: The Governor announced amendments to Executive Order 2020-07 providing for the following measures: Issues a statewide “Safer at Home” order for adults over the age of 65 and vulnerable individuals with serious underlying medical conditions; Limits gatherings to no more than 10 people; Prohibits visitation to nursing homes and long-term care facilities; Postpones all elective surgeries, minor medical procedures and non-emergency dental procedures until April 7; Requires restaurants to provide take-out and delivery options only and close all bars in Oklahoma counties; and, Closes all businesses not identified as being within a critical infrastructure sector through April 15. From news clips, AP March 25: The Oklahoma State Board of Education voted Wednesday to close public schools statewide for the remainder of the school year and to turn to distance learning in an effort to limit the spread of the coronavirus, which has now infected 164 Oklahomans.",2020-03-24,After shutdowns,monthly,1,remove
AL,2020-03-14,1892,sex,male,905,0,0.47832980972515854,0,Alabama,Initial,2020,Mar 2020,3,Mar,2020-03-14,2020-03-17,2020-04-03,"March 14, 2020: Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak. March 17, 2020: The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week. April 3, 2020: The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",2020-03-14,After shutdowns,weekly,5,keep
AL,2020-03-21,10016,sex,male,3278,0,0.32727635782747605,0,Alabama,Initial,2020,Mar 2020,3,Mar,2020-03-14,2020-03-17,2020-04-03,"March 14, 2020: Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak. March 17, 2020: The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week. April 3, 2020: The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",2020-03-14,After shutdowns,weekly,5,keep
AL,2020-03-28,81316,sex,male,29756,0,0.36593044419302473,0,Alabama,Initial,2020,Mar 2020,3,Mar,2020-03-14,2020-03-17,2020-04-03,"March 14, 2020: Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak. March 17, 2020: The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week. April 3, 2020: The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",2020-03-14,After shutdowns,weekly,5,keep
AL,2020-04-04,108153,sex,male,43249,0,0.3998871968415116,0,Alabama,Initial,2020,Apr 2020,4,Apr,2020-03-14,2020-03-17,2020-04-03,"March 14, 2020: Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak. March 17, 2020: The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week. April 3, 2020: The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",2020-03-14,After shutdowns,weekly,5,keep
AL,2020-04-11,78658,sex,male,34573,0,0.4395357115614432,0,Alabama,Initial,2020,Apr 2020,4,Apr,2020-03-14,2020-03-17,2020-04-03,"March 14, 2020: Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak. March 17, 2020: The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week. April 3, 2020: The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",2020-03-14,After shutdowns,weekly,5,keep
AK,2020-03-14,3535,sex,male,1465,29,0.41785510553337135,0.008203677510608205,Alaska,Initial,2020,Mar 2020,3,Mar,2020-03-13,2020-03-17,2020-03-27,"KTTU: Between March 16-30 there will be non-student contact days in which students will not be attending school and all after school activities will be suspended. March 17, 2020: The Governor announced a ban on all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages for public dine-in service. March 26, 2020, The Governor issued the following health mandates: Health Mandate 011: Social Distancing, Ordering individuals to practice social distancing, closure of non-essential businesses, and employers to take reasonable precautions.",2020-03-13,After shutdowns,weekly,1,remove
UT,2020-03-07,1015,sex,male,627,5,0.6207920792079208,0.0049261083743842365,Utah,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-27,"March 16, 2020: The Governor announced that Utah’s public schools will implement a two-week dismissal, or “soft closure,” starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities. March 17, 2020: The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18. March 27, 2020: The Governor issued a “Stay Safe, Stay Home” Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",2020-03-16,Before shutdowns,weekly,2,keep
UT,2020-03-14,1305,sex,male,754,4,0.579554189085319,0.0030651340996168583,Utah,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-27,"March 16, 2020: The Governor announced that Utah’s public schools will implement a two-week dismissal, or “soft closure,” starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities. March 17, 2020: The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18. March 27, 2020: The Governor issued a “Stay Safe, Stay Home” Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",2020-03-16,Before shutdowns,weekly,2,keep
UT,2020-03-21,19690,sex,male,8132,59,0.41424277927767306,0.0029964448958862367,Utah,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-27,"March 16, 2020: The Governor announced that Utah’s public schools will implement a two-week dismissal, or “soft closure,” starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities. March 17, 2020: The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18. March 27, 2020: The Governor issued a “Stay Safe, Stay Home” Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",2020-03-16,After shutdowns,weekly,3,keep
UT,2020-03-28,28531,sex,male,11926,114,0.4196783615441461,0.00399565385019803,Utah,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-27,"March 16, 2020: The Governor announced that Utah’s public schools will implement a two-week dismissal, or “soft closure,” starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities. March 17, 2020: The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18. March 27, 2020: The Governor issued a “Stay Safe, Stay Home” Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",2020-03-16,After shutdowns,weekly,3,keep
UT,2020-04-04,33040,sex,male,14273,99,0.4332898211954707,0.00299636803874092,Utah,Initial,2020,Apr 2020,4,Apr,2020-03-16,2020-03-18,2020-03-27,"March 16, 2020: The Governor announced that Utah’s public schools will implement a two-week dismissal, or “soft closure,” starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities. March 17, 2020: The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18. March 27, 2020: The Governor issued a “Stay Safe, Stay Home” Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",2020-03-16,After shutdowns,weekly,3,keep
NY,2020-03-21,80753,sex,male,37471,0,0.46401991257290753,0,New York,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-20,"March 16, 2020: The Governor issued an executive order directing all New York schools to close from March 19: April 1. March 18, 2020: The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos. March 20, 2020: The Governor issued guidance on essential services under the New York State on PAUSE executive order, a ten-point policy to assured uniform safety for everyone signed on Friday, March 20 (effective March 22)",2020-03-16,After shutdowns,weekly,4,keep
NY,2020-03-28,369025,sex,male,175123,0,0.47455592439536615,0,New York,Initial,2020,Mar 2020,3,Mar,2020-03-16,2020-03-18,2020-03-20,"March 16, 2020: The Governor issued an executive order directing all New York schools to close from March 19: April 1. March 18, 2020: The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos. March 20, 2020: The Governor issued guidance on essential services under the New York State on PAUSE executive order, a ten-point policy to assured uniform safety for everyone signed on Friday, March 20 (effective March 22)",2020-03-16,After shutdowns,weekly,4,keep
NY,2020-04-04,347573,sex,male,180151,0,0.5183112612314535,0,New York,Initial,2020,Apr 2020,4,Apr,2020-03-16,2020-03-18,2020-03-20,"March 16, 2020: The Governor issued an executive order directing all New York schools to close from March 19: April 1. March 18, 2020: The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos. March 20, 2020: The Governor issued guidance on essential services under the New York State on PAUSE executive order, a ten-point policy to assured uniform safety for everyone signed on Friday, March 20 (effective March 22)",2020-03-16,After shutdowns,weekly,4,keep
NY,2020-04-11,399015,sex,male,207755,0,0.5206696490106888,0,New York,Initial,2020,Apr 2020,4,Apr,2020-03-16,2020-03-18,2020-03-20,"March 16, 2020: The Governor issued an executive order directing all New York schools to close from March 19: April 1. March 18, 2020: The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos. March 20, 2020: The Governor issued guidance on essential services under the New York State on PAUSE executive order, a ten-point policy to assured uniform safety for everyone signed on Friday, March 20 (effective March 22)",2020-03-16,After shutdowns,weekly,4,keep
VA,2020-03-21,44595,sex,male,16404,0,0.36784392869155735,0,Virginia,Initial,2020,Mar 2020,3,Mar,2020-03-13,2020-03-17,2020-03-30,"March 13, 2020: The Governor ordered all K-12 schools in Virginia to close for a minimum of two weeks. March 17, 2020: The Governor and the Health Commissioner issued a Public Health Emergency Order to enforce a prohibition on more than 10 patrons in restaurants, fitness centers, and theaters. March 30, 2020: The Governor issued a “Stay at Home” executive order, effective until June 10. Violation of the order will be considered a Class 1 misdemeanor.",2020-03-13,After shutdowns,weekly,4,keep
VA,2020-03-28,108862,sex,male,41635,0,0.3824566882842498,0,Virginia,Initial,2020,Mar 2020,3,Mar,2020-03-13,2020-03-17,2020-03-30,"March 13, 2020: The Governor ordered all K-12 schools in Virginia to close for a minimum of two weeks. March 17, 2020: The Governor and the Health Commissioner issued a Public Health Emergency Order to enforce a prohibition on more than 10 patrons in restaurants, fitness centers, and theaters. March 30, 2020: The Governor issued a “Stay at Home” executive order, effective until June 10. Violation of the order will be considered a Class 1 misdemeanor.",2020-03-13,After shutdowns,weekly,4,keep
VA,2020-04-04,144685,sex,male,59313,0,0.40994574420292357,0,Virginia,Initial,2020,Apr 2020,4,Apr,2020-03-13,2020-03-17,2020-03-30,"March 13, 2020: The Governor ordered all K-12 schools in Virginia to close for a minimum of two weeks. March 17, 2020: The Governor and the Health Commissioner issued a Public Health Emergency Order to enforce a prohibition on more than 10 patrons in restaurants, fitness centers, and theaters. March 30, 2020: The Governor issued a “Stay at Home” executive order, effective until June 10. Violation of the order will be considered a Class 1 misdemeanor.",2020-03-13,After shutdowns,weekly,4,keep
VA,2020-04-11,102797,sex,male,45346,0,0.44112182262128274,0,Virginia,Initial,2020,Apr 2020,4,Apr,2020-03-13,2020-03-17,2020-03-30,"March 13, 2020: The Governor ordered all K-12 schools in Virginia to close for a minimum of two weeks. March 17, 2020: The Governor and the Health Commissioner issued a Public Health Emergency Order to enforce a prohibition on more than 10 patrons in restaurants, fitness centers, and theaters. March 30, 2020: The Governor issued a “Stay at Home” executive order, effective until June 10. Violation of the order will be considered a Class 1 misdemeanor.",2020-03-13,After shutdowns,weekly,4,keep
